Year,Series,Type of Product,Value
2017,"Domestic material consumption per capita, by type of raw material (tonnes)",FOF,4.269
2017,"Domestic material consumption per capita, by type of raw material (tonnes)",CPR,0.001
2017,"Domestic material consumption per capita, by type of raw material (tonnes)",NMM,4.518
2017,"Domestic material consumption per capita, by type of raw material (tonnes)",NFO,0.07
2018,"Domestic material consumption per capita, by type of raw material (tonnes)",BIM,1.48
2018,"Domestic material consumption per capita, by type of raw material (tonnes)",MEO,0.536
2018,"Domestic material consumption per capita, by type of raw material (tonnes)",FEO,-0.178
2018,"Domestic material consumption per capita, by type of raw material (tonnes)",NFO,0.007
2018,"Domestic material consumption per capita, by type of raw material (tonnes)",NMM,5.278
2018,"Domestic material consumption per capita, by type of raw material (tonnes)",FOF,4.98
2018,"Domestic material consumption per capita, by type of raw material (tonnes)",COL,0.00561
2018,"Domestic material consumption per capita, by type of raw material (tonnes)",CPR,0.0
2018,"Domestic material consumption per capita, by type of raw material (tonnes)",GBO,0.101
2018,"Domestic material consumption per capita, by type of raw material (tonnes)",WCH,0.231
2018,"Domestic material consumption per capita, by type of raw material (tonnes)",CRO,0.657
2018,"Domestic material consumption per capita, by type of raw material (tonnes)",GAS,0.059
2018,"Domestic material consumption per capita, by type of raw material (tonnes)",NMC,4.19397
2018,"Domestic material consumption per capita, by type of raw material (tonnes)",NMA,0.01097
2018,"Domestic material consumption per capita, by type of raw material (tonnes)",ONT,0.0
2018,"Domestic material consumption per capita, by type of raw material (tonnes)",PET,4.79637
2018,"Domestic material consumption per capita, by type of raw material (tonnes)",ALP,13.007
2018,"Domestic material consumption per capita, by type of raw material (tonnes)",WOD,0.056
2019,"Domestic material consumption per capita, by type of raw material (tonnes)",CRO,0.637
2019,"Domestic material consumption per capita, by type of raw material (tonnes)",CPR,0.0
2019,"Domestic material consumption per capita, by type of raw material (tonnes)",WOD,0.06
2019,"Domestic material consumption per capita, by type of raw material (tonnes)",FOF,3.596
2019,"Domestic material consumption per capita, by type of raw material (tonnes)",NMM,6.503
2019,"Domestic material consumption per capita, by type of raw material (tonnes)",NFO,0.008
2019,"Domestic material consumption per capita, by type of raw material (tonnes)",COL,0.00542
2019,"Domestic material consumption per capita, by type of raw material (tonnes)",FEO,0.059
2019,"Domestic material consumption per capita, by type of raw material (tonnes)",MEO,0.295
2019,"Domestic material consumption per capita, by type of raw material (tonnes)",BIM,1.343
2019,"Domestic material consumption per capita, by type of raw material (tonnes)",GBO,0.089
2019,"Domestic material consumption per capita, by type of raw material (tonnes)",WCH,0.081
2019,"Domestic material consumption per capita, by type of raw material (tonnes)",ALP,11.913
2019,"Domestic material consumption per capita, by type of raw material (tonnes)",PET,3.52005
2019,"Domestic material consumption per capita, by type of raw material (tonnes)",ONT,0.0
